timestamp_ms,motion_detected,roll_deg,pitch_deg,yaw_deg,filtered_accel_x_(m/s²),filtered_accel_y_(m/s²),filtered_accel_z_(m/s²),filtered_gyro_x_(deg/s),filtered_gyro_y_(deg/s),filtered_gyro_z_(deg/s),accel_magnitude,gyro_magnitude,adc0,adc1,adc2,adc3,adc4,Label
128091,1,-2.68,-10.56,46.24,1.8314,-0.4671,-9.8165,-9.5075,5.358,0.7706,98.9514,111.4761,0,0,0,0,0,notthing
128117,1,-2.67,-10.55,46.26,1.8307,-0.4666,-9.8179,-9.3802,5.3847,0.6544,100.1896,99.5981,0,0,0,0,0,notthing
128143,1,-2.67,-10.56,46.28,1.8317,-0.4656,-9.8171,-9.2484,5.5447,1.0874,99.8234,138.6294,0,0,0,0,0,notthing
128169,1,-2.67,-10.56,46.3,1.8327,-0.4662,-9.8194,-9.1376,5.5199,0.7037,100.4483,101.8892,0,0,0,0,0,notthing
128195,1,-2.66,-10.57,46.32,1.8326,-0.4646,-9.8134,-9.0661,5.5116,0.8021,98.7978,103.342,0,0,0,0,0,notthing
128221,1,-2.64,-10.56,46.35,1.831,-0.4598,-9.8089,-9.0407,5.4777,0.9906,98.9034,111.6311,0,0,0,0,0,notthing
128247,1,-2.64,-10.56,46.38,1.8304,-0.4603,-9.8087,-8.8866,5.5049,1.0931,99.7216,93.3752,0,0,0,0,0,notthing
128273,1,-2.64,-10.58,46.39,1.8324,-0.4598,-9.8028,-8.9339,5.57,0.6072,98.6858,139.6772,0,0,0,0,0,notthing
128299,1,-2.65,-10.58,46.4,1.8331,-0.4612,-9.7996,-8.9296,5.6333,0.3012,99.0801,123.5398,0,0,0,0,0,notthing
128325,1,-2.63,-10.58,46.4,1.8322,-0.4579,-9.7968,-8.9585,5.7247,-0.0727,98.9864,139.6633,0,0,0,0,0,notthing
128351,1,-2.64,-10.59,46.39,1.8352,-0.4603,-9.8011,-8.9127,5.7147,-0.3545,100.5373,112.2463,0,0,0,0,0,notthing
128377,1,-2.65,-10.58,46.39,1.8327,-0.4624,-9.8027,-8.8839,5.7198,-0.0956,99.8732,112.6255,0,0,0,0,0,notthing
128403,1,-2.62,-10.52,46.38,1.8329,-0.4583,-9.8611,-8.9439,5.6744,-0.2204,111.4189,119.4858,0,0,0,0,0,notthing
128429,1,-2.61,-10.54,46.37,1.8361,-0.4575,-9.8547,-8.9808,5.6976,-0.4968,99.6709,130.5129,0,0,0,0,0,notthing
128455,1,-2.62,-10.56,46.36,1.8383,-0.4589,-9.8504,-8.8765,5.6716,-0.2424,99.9457,96.76,0,0,0,0,0,notthing
128481,1,-2.61,-10.48,46.36,1.835,-0.4597,-9.9069,-8.8607,5.6435,0.0599,111.9524,112.8108,0,0,0,0,0,notthing
128507,1,-2.62,-10.5,46.37,1.8351,-0.4599,-9.8955,-8.9434,5.6354,0.0789,99.4816,124.8516,0,0,0,0,0,notthing
128533,1,-2.6,-10.53,46.37,1.8381,-0.4568,-9.8828,-8.9865,5.65,0.2898,99.0898,126.0986,0,0,0,0,0,notthing
128559,1,-2.63,-10.58,46.38,1.8358,-0.4595,-9.8141,-9.0769,5.71,0.1577,88.1025,137.9504,0,0,0,0,0,notthing
128585,1,-2.63,-10.58,46.38,1.8351,-0.459,-9.8146,-9.1692,5.7421,0.2497,99.9653,137.5383,0,0,0,0,0,notthing
128611,1,-2.62,-10.59,46.4,1.8365,-0.4574,-9.8146,-9.2195,5.7413,0.5732,99.9309,138.5691,0,0,0,0,0,notthing
128637,1,-2.62,-10.59,46.4,1.8379,-0.4562,-9.816,-9.3632,5.6672,0.2081,100.2241,148.0305,0,0,0,0,0,notthing
128663,1,-2.62,-10.59,46.41,1.8382,-0.4577,-9.8172,-9.4628,5.5661,0.2404,100.2129,129.2795,0,0,0,0,0,notthing
128689,1,-2.63,-10.61,46.42,1.84,-0.4579,-9.8162,-9.4759,5.6532,0.3507,99.8317,135.2871,0,0,0,0,0,notthing
128715,1,-2.62,-10.61,46.43,1.841,-0.4574,-9.8172,-9.4721,5.6129,0.2875,100.1835,116.708,0,0,0,0,0,notthing
128741,1,-2.65,-10.63,46.44,1.8442,-0.4624,-9.8188,-9.5311,5.5266,0.5463,100.4578,132.082,0,0,0,0,0,notthing
128767,1,-2.64,-10.64,46.46,1.8439,-0.4605,-9.8035,-9.4889,5.6849,0.6729,97.0127,136.8091,0,0,0,0,0,notthing
128793,1,-2.63,-10.67,46.48,1.8479,-0.4578,-9.7979,-9.4994,5.8555,0.6478,98.7452,146.8394,0,0,0,0,0,notthing
128819,1,-2.64,-10.66,46.49,1.8458,-0.4599,-9.7971,-9.2604,5.9668,0.7018,99.4155,100.5168,0,0,0,0,0,notthing
128845,1,-2.63,-10.64,46.51,1.843,-0.4582,-9.7969,-9.2078,5.9342,0.6144,99.4412,108.1355,0,0,0,0,0,notthing
128871,1,-2.63,-10.61,46.53,1.8382,-0.4574,-9.8005,-9.3183,5.9189,0.7264,100.1217,142.7786,0,0,0,0,0,notthing
128897,1,-2.64,-10.59,46.54,1.8345,-0.46,-9.7974,-9.5146,5.7582,0.5834,98.9031,146.3586,0,0,0,0,0,notthing
128923,1,-2.65,-10.58,46.55,1.8325,-0.4607,-9.7964,-9.56,5.7855,0.2423,99.3137,143.7502,0,0,0,0,0,notthing
128949,1,-2.64,-10.65,46.56,1.8446,-0.4604,-9.7996,-9.3884,5.9398,0.5196,100.6266,124.3198,0,0,0,0,0,notthing
128975,1,-2.66,-10.67,46.57,1.8479,-0.4634,-9.7987,-9.2558,5.888,0.3614,99.6133,95.5295,0,0,0,0,0,notthing
129001,1,-2.68,-10.67,46.57,1.8484,-0.4669,-9.7983,-9.3583,5.9555,-0.131,99.6249,169.5869,0,0,0,0,0,notthing
129027,1,-2.67,-10.65,46.57,1.8441,-0.4645,-9.7985,-9.385,6.1365,0.1009,99.4917,157.7307,0,0,0,0,0,notthing
129053,1,-2.62,-10.65,46.57,1.8452,-0.4563,-9.8055,-9.3199,6.3556,-0.1014,100.992,149.3406,0,0,0,0,0,notthing
129079,1,-2.61,-10.62,46.56,1.8424,-0.4552,-9.811,-9.3004,6.2951,-0.3178,100.714,121.4612,0,0,0,0,0,notthing
129105,1,-2.62,-10.61,46.57,1.8392,-0.4569,-9.8101,-9.3329,6.1156,0.1811,99.5822,134.717,0,0,0,0,0,notthing
129131,1,-2.62,-10.63,46.56,1.8423,-0.4569,-9.8083,-9.3559,6.1446,-0.1588,99.6015,142.8418,0,0,0,0,0,notthing
129157,1,-2.61,-10.65,46.54,1.8465,-0.4548,-9.8106,-9.364,6.2427,-0.6664,100.3879,167.2307,0,0,0,0,0,notthing
129183,1,-2.61,-10.63,46.52,1.8436,-0.4558,-9.8122,-9.2979,6.1606,-0.7654,100.0715,107.8843,0,0,0,0,0,notthing
129209,1,-2.63,-10.62,46.51,1.8424,-0.4581,-9.8124,-9.3009,6.0258,-0.6685,99.9024,110.2153,0,0,0,0,0,notthing
129235,1,-2.62,-10.64,46.5,1.8446,-0.4573,-9.8111,-9.338,6.0263,-0.2314,99.7178,143.6343,0,0,0,0,0,notthing
129261,1,-2.62,-10.65,46.5,1.8479,-0.4578,-9.8131,-9.237,6.0378,-0.0707,100.3846,108.9556,0,0,0,0,0,notthing
129287,1,-2.66,-10.66,46.5,1.8487,-0.4647,-9.8118,-9.1196,6.1371,-0.0933,99.757,114.5305,0,0,0,0,0,notthing
129313,1,-2.67,-10.64,46.49,1.8458,-0.4649,-9.8132,-9.2686,6.0921,-0.1106,100.0825,144.9771,0,0,0,0,0,notthing
