timestamp_ms,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,roll,pitch,yaw,adc0,adc1,adc2,adc3,adc4,Label
394888,-0.2120,0.0649,-0.0266,0.2957,1.2343,-9.7262,1.7534,7.2440,172.5446,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
395004,-0.2157,0.0836,0.0303,0.3077,1.2157,-9.7226,1.7579,7.2320,172.5552,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
395120,-0.1830,0.0560,-0.0203,0.2999,1.2241,-9.6909,1.7580,7.2284,172.5587,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
395236,-0.2004,0.0763,0.0420,0.3370,1.2205,-9.7442,1.7788,7.2190,172.5628,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
395352,-0.1986,0.0763,0.0030,0.2783,1.2217,-9.7220,1.7636,7.2131,172.5722,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
395468,-0.2027,0.0746,-0.0147,0.3143,1.2157,-9.7232,1.7709,7.2041,172.5792,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
395584,-0.1771,0.0642,-0.0252,0.2747,1.2043,-9.7418,1.7541,7.1881,172.5987,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
395700,-0.1860,0.0859,0.0014,0.3214,1.2420,-9.7112,1.7668,7.1977,172.5863,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
395816,-0.1924,0.0890,0.0590,0.3178,1.2959,-9.7376,1.7754,7.2357,172.5474,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
395932,-0.1909,0.0975,-0.0339,0.3089,1.2510,-9.7280,1.7782,7.2446,172.5381,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
396048,-0.1973,0.0675,0.0154,0.3400,1.2558,-9.7567,1.7984,7.2531,172.5249,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
396164,-0.2307,0.0712,0.0305,0.3029,1.2301,-9.7286,1.7955,7.2481,172.5305,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
396280,-0.2120,0.0843,0.0434,0.3095,1.2187,-9.7148,1.7970,7.2380,172.5400,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
396396,-0.1873,0.0717,0.0299,0.2999,1.1959,-9.7465,1.7922,7.2134,172.5650,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
396512,-0.2048,0.0943,-0.0806,0.3053,1.2396,-9.7064,1.7917,7.2195,172.5592,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
396628,-0.2018,0.0477,-0.0263,0.3095,1.2462,-9.6915,1.7939,7.2299,172.5486,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
396744,-0.2307,0.0922,0.0419,0.3190,1.2552,-9.7298,1.8008,7.2416,172.5356,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
396860,-0.1971,0.0838,-0.0116,0.2735,1.2175,-9.7316,1.7805,7.2303,172.5515,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
396976,-0.1719,0.0792,0.0044,0.2837,1.2103,-9.7322,1.7681,7.2158,172.5685,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
397092,-0.1884,0.0818,-0.0368,0.3059,1.2498,-9.7310,1.7699,7.2258,172.5584,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
397208,-0.2084,0.0461,0.1268,0.3508,1.2552,-9.7388,1.7975,7.2372,172.5406,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
397324,-0.2041,0.0698,-0.0016,0.4573,1.2510,-9.7088,1.8851,7.2470,172.5093,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
397440,-0.1790,0.0868,-0.0076,0.3113,1.2289,-9.7292,1.8784,7.2418,172.5160,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
397556,-0.2039,0.1039,0.0236,0.3262,1.2408,-9.7202,1.8813,7.2447,172.5125,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
397672,-0.2217,0.0615,0.0326,0.3053,1.2133,-9.7477,1.8711,7.2293,172.5299,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
397788,-0.1997,0.0769,0.0350,0.2975,1.2660,-9.7298,1.8577,7.2474,172.5158,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
397904,-0.2012,0.0762,-0.1198,0.1478,1.2450,-9.6550,1.7596,7.2574,172.5301,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
398020,-0.3155,0.1246,0.0622,0.1383,1.4898,-9.6454,1.6652,7.4091,172.4040,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
