timestamp_ms,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,roll,pitch,yaw,adc0,adc1,adc2,adc3,adc4,Label
340599,-0.1853,0.0725,0.0337,0.3765,1.2085,-9.7364,1.7264,7.1804,172.6128,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
340715,-0.2082,0.0537,-0.0003,0.3615,1.1708,-9.7034,1.7655,7.1500,172.6330,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
340831,-0.3658,0.0695,0.0676,0.2616,1.5928,-9.7447,1.7406,7.3643,172.4305,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
340947,-0.3911,0.0883,0.0705,0.1658,1.1977,-9.7597,1.6630,7.3274,172.4842,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
341063,-0.1655,0.0386,0.0059,0.2861,1.1379,-9.7232,1.6641,7.2620,172.5477,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
341179,-0.1284,0.0581,0.0612,0.3424,1.1684,-9.7106,1.6981,7.2216,172.5793,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
341295,-0.1782,0.0581,0.0116,0.2436,1.2732,-9.7208,1.6707,7.2454,172.5625,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
341411,-0.2247,0.0766,0.0041,0.3675,1.2277,-9.7017,1.7187,7.2416,172.5551,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
341527,-0.2037,0.0762,0.0012,0.2454,1.2821,-9.7310,1.6901,7.2678,172.5362,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
341643,-0.2180,0.0757,-0.0240,0.3292,1.1936,-9.7394,1.7132,7.2393,172.5586,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
341759,-0.1958,0.0619,0.0564,0.3143,1.1989,-9.7130,1.7258,7.2187,172.5757,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
341875,-0.2039,0.0553,-0.1076,0.2729,1.3600,-9.7412,1.7122,7.2915,172.5080,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
341991,-0.2093,0.0470,0.0911,0.2831,1.2378,-9.7358,1.7062,7.2866,172.5142,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
342107,-0.1750,0.0817,-0.0371,0.3562,1.2366,-9.7346,1.7435,7.2815,172.5105,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
342223,-0.2144,0.0581,0.0098,0.3208,1.2265,-9.7495,1.7561,7.2700,172.5187,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
342339,-0.2037,0.0791,-0.0334,0.2664,1.2899,-9.7130,1.7363,7.2991,172.4950,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
342455,-0.2154,0.0932,0.0183,0.3005,1.2223,-9.7376,1.7380,7.2843,172.5090,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
342571,-0.2428,0.0776,-0.0027,0.2759,1.2277,-9.7394,1.7252,7.2740,172.5220,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
342687,-0.2090,0.0853,-0.0294,0.3202,1.1953,-9.7471,1.7395,7.2454,172.5466,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
342803,-0.2283,0.0728,0.0867,0.3316,1.2235,-9.7364,1.7591,7.2367,172.5504,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
342919,-0.2176,0.0725,-0.0230,0.2921,1.2468,-9.7250,1.7538,7.2433,172.5452,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
343035,-0.2138,0.0792,-0.0357,0.3160,1.2277,-9.7322,1.7630,7.2375,172.5486,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
343151,-0.2363,0.0327,0.0473,0.2897,1.1768,-9.7442,1.7558,7.2021,172.5848,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
343267,-0.1982,0.0778,0.0485,0.2640,1.2606,-9.7609,1.7338,7.2175,172.5750,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
343383,-0.1971,0.0459,-0.0667,0.3286,1.2283,-9.7040,1.7527,7.2168,172.5712,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
343499,-0.1881,0.0971,0.0018,0.3723,1.2079,-9.7118,1.7953,7.2036,172.5738,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
343615,-0.1843,0.1731,0.0683,0.4394,1.8466,-9.6382,1.8725,7.5670,172.2022,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
343731,-0.3542,0.1647,-0.0011,0.3567,1.2043,-9.7028,1.8941,7.5175,172.2449,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
343847,-0.2450,0.0874,0.0604,0.3298,1.1133,-9.7382,1.8975,7.4176,172.3409,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
