timestamp_ms,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,roll,pitch,yaw,adc0,adc1,adc2,adc3,adc4,Label
18808,-0.1843,0.0454,-0.0274,0.3442,1.2295,-9.7747,1.9199,7.1685,172.5762,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
18924,-0.2067,0.0622,0.0109,0.3125,1.2313,-9.7292,1.9104,7.1725,172.5748,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
19040,-0.2072,0.0653,0.0035,0.2861,1.2295,-9.7118,1.8869,7.1765,172.5771,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
19156,-0.1888,0.0523,-0.0255,0.3478,1.2235,-9.7495,1.9009,7.1736,172.5762,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
19272,-0.1864,0.0754,0.0428,0.2969,1.2067,-9.7244,1.8844,7.1634,172.5904,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
19388,-0.2263,0.0961,-0.0236,0.3508,1.2103,-9.6987,1.9014,7.1579,172.5913,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
19504,-0.2105,0.0693,0.0181,0.3071,1.1762,-9.7837,1.8897,7.1272,172.6240,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
19620,-0.2015,0.0174,0.0586,0.2903,1.2187,-9.7412,1.8701,7.1273,172.6290,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
19736,-0.2015,0.0858,0.0499,0.3268,1.2025,-9.7178,1.8743,7.1196,172.6354,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
19852,-0.1966,0.0729,0.0153,0.3442,1.2462,-9.7681,1.8871,7.1343,172.6178,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
19968,-0.2108,0.0909,-0.0443,0.3669,1.2408,-9.7430,1.9123,7.1462,172.5998,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
20084,-0.2274,0.0765,0.0663,0.2855,1.2199,-9.7591,1.8873,7.1437,172.6086,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
20200,-0.2183,0.0770,-0.0521,0.3358,1.2115,-9.7322,1.8947,7.1386,172.6118,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
20316,-0.1948,0.0657,0.0451,0.2688,1.2247,-9.7322,1.8622,7.1417,172.6171,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
20432,-0.1849,0.0528,0.0600,0.3346,1.1840,-9.7591,1.8709,7.1188,172.6370,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
20548,-0.1903,0.0773,-0.0519,0.3208,1.1995,-9.7519,1.8709,7.1078,172.6476,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
20664,-0.1969,0.0758,0.0192,0.4394,1.2115,-9.7358,1.9402,7.1057,172.6316,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
20780,-0.1905,0.0755,0.0579,0.3783,1.2235,-9.7388,1.9669,7.1106,172.6196,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
20896,-0.2424,0.0579,-0.0419,0.3238,1.2366,-9.7310,1.9593,7.1234,172.6093,0.0000,0.0000,0.0000,0.0000,0.0000,nothing
