timestamp_ms,ax_slav,ay_slav,az_slav,gx_slav,gy_slav,gz_slav,angle_x_slav,angle_y_slav,angle_z_slav,flex_slav_0,flex_slav_1,flex_slav_2,flex_slav_3,flex_slav_4,ax,ay,az,gx,gy,gz,angle_x,angle_y,angle_z,flex_0,flex_1,flex_2,flex_3,flex_4,Label
292358,-1.0415,-3.2125,-9.2054,-0.0057,-0.0817,0.0387,-18.9712,-5.4901,160.1914,81.15,103.40,106.14,127.34,94.86,-1.2295,3.9488,-8.6721,-0.2166,0.0530,0.0138,24.4823,-7.1828,154.3506,291.91,298.23,241.83,103.35,134.91,nothing
292424,-0.8793,-3.0551,-9.4000,-0.0607,-0.0196,-0.0045,-18.4495,-5.2863,160.7551,81.15,98.92,101.72,118.87,90.62,-1.2528,4.0457,-8.7218,-0.1982,0.0881,0.0050,24.5725,-7.3036,154.2247,272.15,278.87,214.99,97.74,134.91,nothing
292490,-0.9793,-3.0814,-9.2647,-0.0421,-0.0014,-0.0453,-18.3762,-5.5061,160.7596,75.79,89.96,97.30,127.34,94.86,-1.4216,3.9757,-8.5350,-0.3123,0.3295,0.0484,24.6264,-7.9395,153.9601,242.52,269.19,255.25,114.57,143.59,nothing
292556,-0.8284,-3.1946,-9.3323,-0.0401,0.0149,-0.0701,-18.6030,-5.1525,160.6457,75.79,94.44,106.14,127.34,94.86,-0.8703,4.2116,-8.8223,-0.2369,0.1411,0.0538,25.0310,-6.4978,154.0248,262.28,269.19,228.41,92.13,130.57,nothing
292622,-0.9236,-3.1563,-9.2892,-0.0293,-0.0176,0.0270,-18.6419,-5.2652,160.5755,86.52,98.92,101.72,127.34,90.62,-1.1540,4.1876,-8.7397,-0.1580,0.0240,0.0777,25.2205,-6.6448,153.7981,252.40,230.47,188.16,75.31,126.23,nothing
292688,-0.8937,-3.1599,-9.3234,-0.0262,0.0252,-0.0401,-18.6425,-5.2261,160.5863,81.15,94.44,101.72,127.34,99.09,-1.1086,4.1200,-8.6446,-0.1401,0.0480,0.0042,25.2607,-6.6242,153.7650,232.64,201.44,188.16,92.13,134.91,nothing
292754,-0.9727,-3.2838,-9.2809,0.0161,0.0045,0.0417,-19.0151,-5.4347,160.1656,70.43,89.96,106.14,131.58,94.86,-1.2325,4.0751,-8.6913,-0.1598,0.0248,0.0500,25.0819,-6.9701,153.8361,242.52,230.47,241.83,92.13,130.57,nothing
292820,-0.9009,-3.1557,-9.3575,0.0142,0.0256,0.1059,-18.7852,-5.3233,160.4202,81.15,98.92,101.72,127.34,94.86,-1.1588,4.0906,-8.6362,-0.1768,0.0466,0.0834,25.1148,-6.9423,153.8126,252.40,230.47,201.58,86.52,117.55,nothing
292886,-0.9607,-3.0743,-9.2773,0.0173,0.0033,0.0176,-18.5152,-5.4682,160.6374,81.15,94.44,101.72,123.11,90.62,-1.1959,4.0308,-8.6488,-0.2286,0.0637,0.0322,24.9482,-7.0430,153.9434,232.64,211.12,188.16,86.52,134.91,nothing
292952,-0.8871,-3.1874,-9.2048,-0.0151,-0.0145,-0.0055,-18.7656,-5.3363,160.4353,70.43,89.96,97.30,131.58,99.09,-1.1570,4.0457,-8.7487,-0.2134,0.0499,-0.0412,24.7880,-6.9436,154.1292,222.76,220.79,228.41,103.35,134.91,nothing
293018,-0.8859,-3.1784,-9.2940,-0.0335,0.0667,-0.0750,-18.7832,-5.2447,160.4450,81.15,112.36,106.14,127.34,94.86,-1.1654,4.1140,-8.7062,-0.1521,0.0687,-0.0123,24.9424,-6.9222,153.9860,252.40,240.15,214.99,86.52,126.23,nothing
293084,-0.7985,-3.1030,-9.3186,-0.0266,-0.0380,-0.1059,-18.5690,-4.9462,160.7365,81.15,98.92,101.72,123.11,90.62,-1.1942,4.1307,-8.7092,-0.0519,0.0468,-0.0080,25.0558,-6.9923,153.8547,252.40,220.79,188.16,80.91,126.23,nothing
293150,-0.9266,-3.1455,-9.2928,-0.0566,-0.0074,-0.0290,-18.5918,-5.1709,160.6512,75.79,85.48,97.30,123.11,99.09,-1.2061,4.0966,-8.6931,-0.2273,0.0443,0.0344,25.0391,-7.0729,153.8461,212.89,211.12,214.99,97.74,134.91,nothing
293216,-0.8949,-3.2179,-9.3138,0.0278,-0.1277,-0.0519,-18.7858,-5.1799,160.4610,75.79,98.92,106.14,131.58,111.78,-1.1965,4.0751,-8.6883,-0.2079,0.0762,-0.0350,24.9805,-7.0901,153.8976,242.52,240.15,228.41,92.13,126.23,nothing
293282,-0.9212,-3.1485,-9.2437,-0.0559,0.0574,-0.0365,-18.7546,-5.2842,160.4612,86.52,98.92,101.72,127.34,90.62,-1.2091,3.9757,-8.5907,-0.1689,0.0566,0.0394,24.8020,-7.1839,154.0410,242.52,230.47,201.58,86.52,121.89,nothing
293348,-0.8194,-3.0826,-9.3024,-0.0083,-0.0177,0.0050,-18.5117,-5.0321,160.7682,81.15,94.44,97.30,123.11,94.86,-1.0822,4.1146,-8.7338,-0.1686,0.0923,0.0421,24.9312,-6.7878,154.0373,222.76,201.44,201.58,92.13,134.91,nothing
293414,-0.9511,-3.2113,-9.3144,0.0027,0.0296,-0.0162,-18.7224,-5.2739,160.4953,70.43,89.96,106.14,131.58,99.09,-1.1115,4.2289,-8.7110,-0.1734,0.0380,0.0221,25.3242,-6.6677,153.6906,232.64,240.15,241.83,97.74,130.57,nothing
293480,-0.9864,-3.2018,-9.2156,-0.0140,-0.0094,0.0375,-18.8897,-5.5230,160.2601,81.15,103.40,106.14,127.34,90.62,-1.3402,3.9230,-8.6338,-0.1760,-0.0481,0.1350,24.7577,-7.3516,154.0304,252.40,240.15,214.99,86.52,117.55,nothing
293546,-0.7829,-3.1389,-9.4323,-0.0259,0.0364,-0.0435,-18.6177,-5.0097,160.6718,81.15,94.44,101.72,123.11,90.62,-1.2193,4.2756,-8.6775,-0.2586,0.0758,0.0652,25.3870,-7.2677,153.4483,203.01,230.47,201.58,86.52,134.91,nothing
293612,-0.9380,-3.1479,-9.1330,-0.0465,-0.0018,-0.0086,-18.7701,-5.2750,160.4489,70.43,89.96,101.72,127.34,94.86,-1.2259,4.0152,-8.6721,-0.0736,0.0458,0.0125,25.0091,-7.2888,153.8075,173.37,240.15,255.25,103.35,134.91,nothing
293678,-0.7871,-3.1874,-9.3251,-0.0342,-0.0153,0.0063,-18.7898,-4.9194,160.5298,75.79,98.92,106.14,131.58,94.86,-1.1181,4.1894,-8.6290,-0.1928,0.0863,-0.0810,25.3597,-6.9690,153.5668,183.25,259.51,241.83,92.13,126.23,nothing
293744,-0.7961,-3.1359,-9.3569,-0.0417,0.0035,-0.0079,-18.6276,-4.7654,160.7286,86.52,94.44,101.72,123.11,90.62,-1.1295,4.0451,-8.6410,-0.1810,0.0791,0.0386,25.1306,-6.8606,153.8219,163.49,240.15,214.99,86.52,126.23,nothing
293810,-0.9745,-3.0761,-9.1761,-0.0774,0.0007,-0.0164,-18.5331,-5.2539,160.6839,75.79,89.96,97.30,123.11,94.86,-1.2396,4.1571,-8.6727,-0.0994,0.0515,-0.0341,25.2583,-7.1034,153.6242,133.86,220.79,214.99,97.74,139.25,nothing
293876,-0.8739,-3.0886,-9.3192,-0.0589,-0.0134,0.0247,-18.3971,-5.1701,160.8396,70.43,94.44,106.14,131.58,94.86,-1.1965,4.2361,-8.6326,-0.1288,0.0275,0.0155,25.5909,-7.0984,153.3031,163.49,259.51,241.83,97.74,130.57,nothing
