timestamp_ms,ax_slav,ay_slav,az_slav,gx_slav,gy_slav,gz_slav,angle_x_slav,angle_y_slav,angle_z_slav,flex_slav_0,flex_slav_1,flex_slav_2,flex_slav_3,flex_slav_4,ax,ay,az,gx,gy,gz,angle_x,angle_y,angle_z,flex_0,flex_1,flex_2,flex_3,flex_4,Label
493811,-0.2203,-6.9704,-7.0015,0.3044,-0.4342,0.2395,-42.8935,-0.1803,137.1059,0.00,11.75,0.00,0.00,0.00,0.9481,4.6575,-8.6763,-0.2766,-0.0682,0.0050,28.2469,6.0035,151.0078,0.00,7.78,36.10,18.44,34.02,nothing
493877,-0.2915,-6.9560,-6.9686,-0.0320,-0.3835,0.1166,-43.9164,-0.9404,136.0682,0.00,11.75,0.00,0.00,0.00,1.0098,4.7826,-8.6248,-0.2564,-0.0224,0.0339,28.5455,5.9249,150.7331,0.00,7.78,36.10,18.44,34.02,nothing
493943,-0.4585,-6.4831,-7.2080,0.1281,-0.3028,0.1806,-42.9259,-1.8192,137.0163,0.00,11.75,0.00,0.00,0.00,0.8691,4.7155,-8.6835,-0.3326,-0.0108,0.0102,28.4660,5.4756,150.9158,0.00,7.78,36.10,18.44,38.67,nothing
494009,-0.6943,-6.8872,-6.9572,0.2084,-0.2800,0.2011,-43.7606,-2.9415,136.0884,0.00,11.75,0.00,0.00,0.00,0.9499,4.7389,-8.6512,-0.1603,0.0481,0.0104,28.5172,5.4882,150.8625,0.00,7.78,36.10,18.44,34.02,nothing
494075,-0.5429,-7.0913,-6.8542,0.0997,-0.0409,-0.0297,-44.8277,-3.0472,135.0104,0.00,11.75,0.00,0.00,0.00,0.9224,4.9179,-8.5680,-0.2718,0.0468,-0.0026,29.1153,5.4114,150.2891,0.00,7.78,36.10,13.09,34.02,nothing
494141,-0.6405,-6.7160,-6.9853,-0.0758,-0.0693,0.0872,-44.2950,-3.4123,135.5020,0.00,11.75,0.00,0.00,0.00,0.9583,4.8371,-8.6075,-0.2765,0.0605,0.0202,29.1496,5.4776,150.2408,0.00,7.78,36.10,18.44,34.02,nothing
494207,-0.5746,-6.8321,-6.9123,-0.0185,-0.1947,0.1296,-44.4308,-3.3980,135.3679,0.00,11.75,0.00,0.00,0.00,0.9188,4.7574,-8.6464,-0.2244,0.0851,0.0170,28.9174,5.3984,150.4874,0.00,7.78,36.10,13.09,34.02,nothing
494273,-0.6471,-7.0476,-6.8303,-0.2432,0.0691,-0.0293,-45.1032,-3.5861,134.6726,0.00,11.75,0.00,0.00,0.00,0.9404,4.7497,-8.6266,-0.1801,0.0964,-0.0029,28.8057,5.4265,150.5915,0.00,7.78,36.10,13.09,34.02,nothing
494339,-0.7692,-6.7555,-7.0260,0.0751,0.1317,-0.1748,-44.4061,-4.0490,135.3082,0.00,11.75,0.00,0.00,0.00,0.9715,4.8436,-8.6200,-0.1775,0.1058,0.0116,28.9920,5.5191,150.3871,0.00,7.78,36.10,18.44,34.02,nothing
494405,-0.5543,-6.5406,-7.0853,-0.0297,0.1501,-0.0434,-43.5222,-3.6723,136.2425,0.00,11.75,0.00,0.00,0.00,0.9661,4.7856,-8.6087,-0.1106,0.1017,-0.0237,28.9550,5.5605,150.4144,0.00,7.78,36.10,18.44,34.02,nothing
494471,-0.5680,-6.9758,-6.8926,-0.0538,0.0712,-0.0432,-44.3892,-3.4932,135.3981,0.00,11.75,0.00,0.00,0.00,1.0038,4.8682,-8.5674,-0.0813,0.0956,-0.0304,29.1970,5.6886,150.1466,0.00,7.78,36.10,18.44,38.67,nothing
494537,-0.4723,-6.6866,-7.0314,-0.2836,0.0547,0.0314,-43.9450,-3.1410,135.8829,0.00,11.75,0.00,0.00,0.00,0.9003,4.8718,-8.6332,-0.2346,0.0878,-0.0100,29.2509,5.4383,150.1494,0.00,7.78,36.10,18.44,34.02,nothing
494603,-0.5327,-6.8141,-6.9919,-0.1481,0.0132,0.0109,-44.0624,-3.1321,135.7665,0.00,11.75,0.00,0.00,0.00,0.9625,4.5719,-8.7266,-0.3166,0.0500,-0.0059,28.3809,5.5097,150.9921,0.00,7.78,36.10,18.44,34.02,nothing
494669,-0.5680,-6.5394,-7.1015,-0.1738,-0.0902,0.0851,-43.3095,-3.2495,136.5061,0.00,11.75,0.00,0.00,0.00,0.9038,4.5240,-8.7763,-0.1489,0.0676,-0.0131,27.7642,5.3703,151.6313,0.00,7.78,36.10,13.09,34.02,nothing
494735,-0.5495,-6.6513,-7.0907,0.1213,-0.3185,0.2128,-43.1962,-3.2422,136.6202,0.00,11.75,0.00,0.00,0.00,0.9368,4.7586,-8.6039,-0.1446,0.0909,-0.0202,28.2829,5.4065,151.1118,0.00,7.78,36.10,18.44,34.02,nothing
494801,-0.6058,-7.1027,-6.7621,-0.0211,-0.7414,0.4861,-44.7529,-3.3904,135.0467,0.00,11.75,0.00,0.00,0.00,0.8997,4.6736,-8.7044,-0.2608,0.0536,-0.0019,28.1943,5.3047,151.2216,0.00,7.78,36.10,18.44,43.32,nothing
494867,-1.5264,-6.5238,-7.1122,0.2087,-0.3156,0.2048,-43.3788,-6.1899,135.9544,0.00,11.75,0.00,0.00,0.00,0.9469,4.7293,-8.6242,-0.2170,0.0262,-0.0091,28.3943,5.4018,151.0029,0.00,7.78,36.10,13.09,34.02,nothing
494933,-1.1493,-6.6932,-6.9464,-0.1823,0.0826,0.0048,-43.4651,-6.4914,135.8020,4.02,11.75,0.00,0.00,0.00,0.9607,4.7287,-8.6380,-0.2275,0.0893,0.0174,28.4720,5.4869,150.9073,0.00,7.78,36.10,13.09,34.02,nothing
